epoch,train_loss,val_loss,learning_rate
1,0.2091414673745632,0.15089979080859658,9.5e-05
2,0.1326597502207756,0.12783118258313755,9.025e-05
3,0.12203539667367935,0.115554461269961,8.573749999999999e-05
4,0.11583567129254341,0.11013617476596095,8.145062499999998e-05
5,0.11277924418032169,0.10935192536133939,7.737809374999998e-05
6,0.10950179858326912,0.10640892619862581,7.350918906249998e-05
7,0.10764332286953926,0.1093576809729609,6.983372960937497e-05
8,0.10585948136746884,0.10747184115640647,6.634204312890622e-05
9,0.10516240366578102,0.10637385793544753,6.30249409724609e-05
10,0.10390265118718148,0.10481512696122575,5.987369392383786e-05
11,0.10333554940521716,0.1053082251735508,5.688000922764596e-05
12,0.10164376137435437,0.1031626295060148,5.4036008766263664e-05
13,0.10137263732612133,0.10227371655557009,5.133420832795048e-05
14,0.10143262701392174,0.1060398035799451,4.876749791155295e-05
15,0.10030492328643799,0.10432331203995153,4.6329123015975305e-05
16,0.10003117100894451,0.10066000890472661,4.4012666865176535e-05
17,0.09960713364958763,0.1036783222852232,4.181203352191771e-05
18,0.09883469078779221,0.10134922239519752,3.972143184582182e-05
19,0.09882089166522026,0.10511951237116628,3.7735360253530726e-05
20,0.09823147986769676,0.10306387343694029,3.584859224085419e-05
