epoch,train_loss,val_loss,learning_rate
1,0.22799065528392792,0.15613648374481578,9.5e-05
2,0.13835273477196694,0.12631751642660108,9.025e-05
3,0.12679204998612403,0.1283441840973504,8.573749999999999e-05
4,0.12115805093884469,0.11967680366981365,8.145062499999998e-05
5,0.11638065951824188,0.11480058021748157,7.737809374999998e-05
6,0.11274755748987197,0.10743793259229502,7.350918906249998e-05
7,0.11079225979685783,0.10932647413038232,6.983372960937497e-05
8,0.10895936448812485,0.10446272331201817,6.634204312890622e-05
9,0.10772714450478554,0.10220420244804886,6.30249409724609e-05
10,0.10569783656299114,0.1020070596614762,5.987369392383786e-05
11,0.1049588334262371,0.10490600231206021,5.688000922764596e-05
12,0.10438628998935223,0.10424799555936433,5.4036008766263664e-05
13,0.10302981762826442,0.10051884707968559,5.133420832795048e-05
14,0.10323834301829338,0.10814633680617108,4.876749791155295e-05
15,0.10237972629666328,0.10578761992933196,4.6329123015975305e-05
16,0.10225387417256832,0.10145960123661686,4.4012666865176535e-05
17,0.10143304200530052,0.1013069439612691,4.181203352191771e-05
18,0.10086907753169537,0.10023844860436971,3.972143184582182e-05
19,0.0997811083984375,0.10585107822971576,3.7735360253530726e-05
20,0.09979057676553726,0.10018587183883733,3.584859224085419e-05
