epoch,train_loss,val_loss,learning_rate
1,0.23657087184667588,0.1536954443644532,9.5e-05
2,0.14328608062267303,0.12594950033347016,9.025e-05
3,0.13155144377231598,0.13391197053596493,8.573749999999999e-05
4,0.12485690269708634,0.12157864042598268,8.145062499999998e-05
5,0.11964783970236778,0.11499493464332103,7.737809374999998e-05
6,0.116024929895401,0.11270193000088262,7.350918906249998e-05
7,0.11318258468985558,0.11798368275279889,6.983372960937497e-05
8,0.11068591901779175,0.11192247709807228,6.634204312890622e-05
9,0.10834649190068245,0.10964542328644439,6.30249409724609e-05
10,0.10768351240277291,0.10671490163106442,5.987369392383786e-05
11,0.10705978839993477,0.10522811767428428,5.688000922764596e-05
12,0.10537489963293076,0.10819860858380642,5.4036008766263664e-05
13,0.104840385658741,0.10359863292835557,5.133420832795048e-05
14,0.10390069355487823,0.11037012769857331,4.876749791155295e-05
15,0.1030885743713379,0.10775735135883321,4.6329123015975305e-05
16,0.10253340819180012,0.10422375138915713,4.4012666865176535e-05
17,0.10104356820225716,0.10683896921365463,4.181203352191771e-05
18,0.10117539644300938,0.10523669943785119,3.972143184582182e-05
19,0.10063755605459214,0.11009982741340195,3.7735360253530726e-05
