epoch,train_loss,train_metric,val_loss,val_metric,learning_rate
1,1.9625839405441283,0.24387125,1.8054796538136362,0.3185580614203455,9.5e-05
2,1.5127726615428925,0.44317875,1.3801545362707444,0.4995301503518874,9.025e-05
3,1.2947343897867203,0.53116625,1.4281467279789926,0.49223248560460653,8.573749999999999e-05
4,1.2286525917100906,0.5550825,1.1685138454974193,0.5777551183621241,8.145062499999998e-05
5,1.1941414537096025,0.56677875,1.3604494483136855,0.5164147472808701,7.737809374999998e-05
6,1.1615518749141693,0.57912125,1.333818098862661,0.5192138515674984,7.350918906249998e-05
7,1.1375702563142776,0.587905,1.2210756409114856,0.5577515195137556,6.983372960937497e-05
8,1.1189805895996094,0.5948225,1.2684341723615362,0.5458853166986565,6.634204312890622e-05
9,1.1022915738916397,0.60045125,1.3326766876097451,0.5308301343570058,6.30249409724609e-05
10,1.0902367974328995,0.6043275,1.3675785190160656,0.5156050063979527,5.987369392383786e-05
