epoch,train_loss,val_loss,learning_rate
1,0.1721518769979477,0.13756447454052204,9.5e-05
2,0.14020411693811416,0.13629396605636457,9.025e-05
3,0.13742625512838363,0.132145082106447,8.573749999999999e-05
4,0.13320069643855095,0.1331533779440176,8.145062499999998e-05
5,0.13404146668195724,0.1347607830086785,7.737809374999998e-05
6,0.13366946638822555,0.13394895303622842,7.350918906249998e-05
7,0.13314153270959855,0.13289041619014252,6.983372960937497e-05
8,0.13279295590639115,0.13892233927193506,6.634204312890622e-05
9,0.1329521989428997,0.13048581439820703,6.30249409724609e-05
10,0.1319052561879158,0.13216147475573412,5.987369392383786e-05
11,0.13064873050808906,0.12903399329127557,5.688000922764596e-05
12,0.13093151859879493,0.13103518833208572,5.4036008766263664e-05
13,0.13030492491722107,0.1292596418896447,5.133420832795048e-05
14,0.1298170334970951,0.1319352502713118,4.876749791155295e-05
15,0.12903579147338867,0.1259535525632484,4.6329123015975305e-05
16,0.12874383736014366,0.12636903623866913,4.4012666865176535e-05
17,0.127973076441288,0.12650884627876685,4.181203352191771e-05
18,0.12812469307541846,0.1268585245589466,3.972143184582182e-05
19,0.1259096431684494,0.1269077733635445,3.7735360253530726e-05
20,0.12633602906227112,0.12776714986395044,3.584859224085419e-05
