epoch,train_loss,train_metric,val_loss,val_metric,learning_rate
1,1.9078209033203124,0.27501125,1.7976061476398109,0.32662547984644913,9.5e-05
2,1.7123180724811553,0.358965,1.597782826088059,0.40815938899552145,9.025e-05
3,1.567459861421585,0.42036875,1.5064909878405561,0.4454374600127959,8.573749999999999e-05
4,1.4805207078647613,0.45672125,1.4538452324772675,0.4715491042866283,8.145062499999998e-05
5,1.4184471968317032,0.4824675,1.3797067816030193,0.4955714171465131,7.737809374999998e-05
6,1.340492391705513,0.51284875,1.3102241548222757,0.5239523352527191,7.350918906249998e-05
7,1.2776126451778411,0.5364125,1.2055012150521622,0.5634396992962252,6.983372960937497e-05
8,1.2344170655965805,0.55197875,1.2047985136623347,0.5608705214331414,6.634204312890622e-05
9,1.201649159593582,0.564175,1.1915937959575835,0.5698776391554703,6.30249409724609e-05
10,1.178450496468544,0.5725,1.1740295194465993,0.5744061900191939,5.987369392383786e-05
11,1.1592913256549835,0.57948625,1.2041553206269893,0.5640694977607166,5.688000922764596e-05
12,1.1404220883512497,0.586085,1.1877054492785086,0.568328134996801,5.4036008766263664e-05
13,1.1261095059204103,0.59119125,1.1555937627379282,0.5806841810620601,5.133420832795048e-05
14,1.1175011198043823,0.59394875,1.1393600454409765,0.5842530390275112,4.876749791155295e-05
15,1.103387233967781,0.59908625,1.1264722422385018,0.5910008797184901,4.6329123015975305e-05
16,1.0923565367746353,0.603195,1.1032791345529807,0.5998780390275112,4.4012666865176535e-05
17,1.082496732378006,0.6060675,1.1445612594323211,0.5874520153550864,4.181203352191771e-05
18,1.074438608570099,0.6092625,1.1021514678718338,0.5988083813179782,3.972143184582182e-05
19,1.0675823578929902,0.61189625,1.084676165231435,0.6064659309021113,3.7735360253530726e-05
20,1.059794174194336,0.61452125,1.105409907936211,0.6007177703134997,3.584859224085419e-05
