epoch,train_loss,train_metric,val_loss,val_metric,learning_rate
1,1.6272635722541808,0.39586375,1.4365600605309963,0.4780770153550864,9.5e-05
2,1.3627770640945434,0.50652,1.2804521397375863,0.5375779750479847,9.025e-05
3,1.2753327288103105,0.53959125,1.2815812661033064,0.5404870441458733,8.573749999999999e-05
4,1.229929020280838,0.556615,1.188750691354389,0.5719069897632757,8.145062499999998e-05
5,1.198486024951935,0.56804,1.1747926840855385,0.5750659788867563,7.737809374999998e-05
6,1.1752329687166214,0.57659,1.1523550801832403,0.5841130838131798,7.350918906249998e-05
7,1.158044484462738,0.582715,1.160741312185008,0.5814339411388356,6.983372960937497e-05
8,1.143910022058487,0.58784125,1.129435582185356,0.5941498720409469,6.634204312890622e-05
9,1.131179907784462,0.59189125,1.1367117733583187,0.5911908189379399,6.30249409724609e-05
10,1.1194387299633026,0.5961375,1.1227957715381054,0.5964291426743442,5.987369392383786e-05
11,1.110350938062668,0.59924375,1.1172019405694475,0.6004278630838131,5.688000922764596e-05
12,1.1016647608661652,0.602625,1.1138518425568662,0.5994181861804223,5.4036008766263664e-05
13,1.0930047197055817,0.60538125,1.113625733042404,0.6005478246960972,5.133420832795048e-05
14,1.0859984185123444,0.60774,1.1047174561809288,0.6020273512476008,4.876749791155295e-05
15,1.080336073999405,0.60991,1.1031313147288595,0.6036568298144593,4.6329123015975305e-05
16,1.0725612321233748,0.61229875,1.107692103201353,0.6022772712731925,4.4012666865176535e-05
17,1.0661780114650727,0.614995,1.1138369046718892,0.6006977767114523,4.181203352191771e-05
18,1.0609320883655549,0.6160775,1.1040620287106881,0.6034369001919386,3.972143184582182e-05
19,1.0553120297002792,0.6184325,1.118549262722257,0.5981885796545106,3.7735360253530726e-05
20,1.0497158060979843,0.62029875,1.0982022584438018,0.6049364203454894,3.584859224085419e-05
